Room Id, Room Number, Room Type, Room Facilities, Room Price, Room Status, Room Picture, Room BedType
666, 332, Deluxe C, Wifi, 50.06, Booked, http://dummyimage.com/191x100.png/5fa2dd/ffffff, Single
140, 667, Deluxe B, AC|Towel|Bathup|LED TV, 50.1, Booked, http://dummyimage.com/174x100.png/cc0000/ffffff, Single
207, 291, Deluxe C, Wifi|LED TV|Coffee Set|Double Bed|Bathup|AC, 50.15, Booked, http://dummyimage.com/223x100.png/cc0000/ffffff, Single
716, 838, Deluxe D, AC|Shower|Bathup|Double Bed|Coffee Set|Wifi|Towel|LED TV, 50.31, Available, http://dummyimage.com/155x100.png/cc0000/ffffff, Double
582, 702, Deluxe A, Coffee Set|LED TV|Towel|Shower|AC|Wifi|Double Bed|Bathup|Shower|Wifi, 50.33, Booked, http://dummyimage.com/168x100.png/cc0000/ffffff, Single
945, 381, Deluxe D, AC|LED TV|Towel|Bathup|Shower|Double Bed|Wifi, 50.35, Available, http://dummyimage.com/110x100.png/dddddd/000000, Double
45, 189, Deluxe C, Wifi|LED TV|Bathup|Coffee Set|Towel|AC|Shower|Double Bed|Bathup|AC, 50.57, Booked, http://dummyimage.com/196x100.png/5fa2dd/ffffff, Double
397, 561, Deluxe D, Towel|Bathup|Coffee Set|Shower, 50.64, Booked, http://dummyimage.com/239x100.png/cc0000/ffffff, Single
866, 149, Deluxe C, Wifi|Coffee Set|Shower|Double Bed|Bathup|LED TV, 50.88, Booked, http://dummyimage.com/219x100.png/5fa2dd/ffffff, Double
962, 383, Deluxe B, Wifi, 51.01, Available, http://dummyimage.com/167x100.png/5fa2dd/ffffff, Double
750, 333, Deluxe A, Shower|Double Bed|LED TV|Wifi|Towel|Coffee Set|AC|Bathup|LED TV, 51.03, Available, http://dummyimage.com/147x100.png/cc0000/ffffff, Single
293, 462, Deluxe A, Wifi, 51.04, Booked, http://dummyimage.com/201x100.png/dddddd/000000, Single
817, 692, Deluxe C, Double Bed|Towel|Coffee Set, 51.28, Booked, http://dummyimage.com/207x100.png/5fa2dd/ffffff, Double
179, 340, Deluxe A, Bathup|Coffee Set|Double Bed|Shower|Wifi|Towel|AC, 51.33, Available, http://dummyimage.com/121x100.png/ff4444/ffffff, Single
155, 17, Deluxe A, Coffee Set, 51.44, Booked, http://dummyimage.com/244x100.png/5fa2dd/ffffff, Single
694, 743, Deluxe A, Bathup|Double Bed, 51.54, Available, http://dummyimage.com/106x100.png/cc0000/ffffff, Double
538, 460, Deluxe B, AC|Double Bed|Shower|Towel|Wifi|Bathup|Coffee Set|LED TV, 51.56, Available, http://dummyimage.com/228x100.png/ff4444/ffffff, Single
778, 574, Deluxe B, Double Bed|Wifi|Shower|Coffee Set|Towel, 51.72, Available, http://dummyimage.com/193x100.png/dddddd/000000, Double
625, 739, Deluxe B, Wifi|Towel|Shower|LED TV|Double Bed|AC|Bathup, 51.75, Available, http://dummyimage.com/104x100.png/5fa2dd/ffffff, Double
